epoch 0.5 | loss 0.6410 | lr 0.001 | valid primary 0.597396
epoch 1.0 | loss 0.5473 | lr 0.001 | valid primary 0.601962
epoch 1.5 | loss 0.5316 | lr 0.0005 | valid primary 0.603309
epoch 2.0 | loss 0.5317 | lr 0.0005 | valid primary 0.603667
epoch 2.5 | loss 0.5262 | lr 0.00025 | valid primary 0.603742
epoch 3.0 | loss 0.5273 | lr 0.00025 | valid primary 0.604221
epoch 3.5 | loss 0.5241 | lr 0.000125 | valid primary 0.603851
epoch 4.0 | loss 0.5249 | lr 0.000125 | valid primary 0.604027
epoch 4.5 | loss 0.5235 | lr 6.25e-05 | valid primary 0.604254
epoch 5.0 | loss 0.5239 | lr 6.25e-05 | valid primary 0.604238
epoch 5.5 | loss 0.5244 | lr 3.125e-05 | valid primary 0.604135
epoch 6.0 | loss 0.5236 | lr 3.125e-05 | valid primary 0.604210
epoch 6.5 | loss 0.5233 | lr 1.5625e-05 | valid primary 0.604261
epoch 7.0 | loss 0.5231 | lr 1.5625e-05 | valid primary 0.604311
epoch 7.5 | loss 0.5227 | lr 7.8125e-06 | valid primary 0.604272
epoch 8.0 | loss 0.5237 | lr 7.8125e-06 | valid primary 0.604282
final: {"best_epoch": 7.0, "config": {"batch_size": 8192, "bpr_weight": 0.5, "decay_every": 1.0, "decay_start_epoch": 0.0, "dropout": 0.2, "embedding_dropout": 0.1, "epochs": 8, "k": 16, "lr": 0.001, "max_runtime": 350, "patience_halves": 6, "recency_half_life": 7.0, "seed": 102, "step_decay_factor": 0.5, "subsample": null, "weight_decay": 1e-05}, "delta_vs_frozen_baseline": -0.0003894112123763449, "field_names": ["user", "video", "author", "tab", "dur_bucket10"], "gauc": 0.6712276199808158, "ndcg5": 0.5373935575944314, "primary": 0.6043105887876237, "runtime_s": 31.5, "timed_out": false}
epoch 0.5 | loss 0.6368 | lr 0.001 | valid primary 0.597917
epoch 1.0 | loss 0.5481 | lr 0.001 | valid primary 0.602602
