row_id,previous_gap_seconds,previous_threshold_seconds,gap_minus_threshold_seconds,previous_same_author,inferred_previous_completion,inferred_previous_state,state_same_author_cross
0,29062.816,18.0,29044.816,0.0,-1.0,3.0,6.0
1,266506.346,18.0,266488.346,0.0,-1.0,3.0,6.0
2,314905.763,18.0,314887.763,0.0,-1.0,3.0,6.0
3,424195.601,18.0,424177.601,0.0,-1.0,3.0,6.0
4,69408.775,18.0,69390.775,0.0,-1.0,3.0,6.0
5,258199.889,18.0,258181.889,0.0,-1.0,3.0,6.0
6,169623.745,18.0,169605.745,0.0,-1.0,3.0,6.0
7,1559.888,18.0,1541.888,0.0,1.0,2.0,4.0
8,167850.436,18.0,167832.436,0.0,-1.0,3.0,6.0
9,169259.236,18.0,169241.236,0.0,-1.0,3.0,6.0
10,137882.311,18.0,137864.311,0.0,-1.0,3.0,6.0
11,14986.133,18.0,14968.133,0.0,-1.0,3.0,6.0
12,196152.215,18.0,196134.215,0.0,-1.0,3.0,6.0
13,3770.991,18.0,3752.991,0.0,-1.0,3.0,6.0
14,179961.199,18.0,179943.199,0.0,-1.0,3.0,6.0
15,179961.199,18.0,179943.199,0.0,-1.0,3.0,6.0
16,415382.193,18.0,415364.193,0.0,-1.0,3.0,6.0
17,443084.117,18.0,443066.117,0.0,-1.0,3.0,6.0
18,96.707,18.0,78.707,1.0,1.0,2.0,5.0
19,432431.322,18.0,432413.322,0.0,-1.0,3.0,6.0
20,85068.153,18.0,85050.153,0.0,-1.0,3.0,6.0
21,28255.753,11.016,28244.737,0.0,-1.0,3.0,6.0
22,33490.892,18.0,33472.892,0.0,-1.0,3.0,6.0
23,113906.08,15.033,113891.047,0.0,-1.0,3.0,6.0
24,946.861,6.4,940.461,0.0,1.0,2.0,4.0
25,47505.785,18.0,47487.785,0.0,-1.0,3.0,6.0
26,863.475,18.0,845.475,0.0,1.0,2.0,4.0
27,80393.497,18.0,80375.497,0.0,-1.0,3.0,6.0
28,5413.733,8.666,5405.067,0.0,-1.0,3.0,6.0
29,27.906,18.0,9.906,0.0,1.0,2.0,4.0
30,68991.315,18.0,68973.315,0.0,-1.0,3.0,6.0
31,136389.243,18.0,136371.243,0.0,-1.0,3.0,6.0
32,45498.858,18.0,45480.858,0.0,-1.0,3.0,6.0
33,45498.858,18.0,45480.858,0.0,-1.0,3.0,6.0
34,88183.193,18.0,88165.193,0.0,-1.0,3.0,6.0
35,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0
36,122962.341,18.0,122944.341,0.0,-1.0,3.0,6.0
37,370125.481,18.0,370107.481,0.0,-1.0,3.0,6.0
38,433978.54,18.0,433960.54,0.0,-1.0,3.0,6.0
39,2692.914,18.0,2674.914,0.0,-1.0,3.0,6.0
40,92883.033,18.0,92865.033,0.0,-1.0,3.0,6.0
41,25727.102,18.0,25709.102,0.0,-1.0,3.0,6.0
42,19948.647,18.0,19930.647,0.0,-1.0,3.0,6.0
43,114893.199,12.133,114881.066,0.0,-1.0,3.0,6.0
44,505117.353,10.066,505107.287,0.0,-1.0,3.0,6.0
45,2926.587,18.0,2908.587,0.0,-1.0,3.0,6.0
46,995.726,18.0,977.726,0.0,1.0,2.0,4.0
47,260650.002,18.0,260632.002,0.0,-1.0,3.0,6.0
48,54379.38,18.0,54361.38,0.0,-1.0,3.0,6.0
49,54379.38,18.0,54361.38,0.0,-1.0,3.0,6.0
50,493153.354,18.0,493135.354,0.0,-1.0,3.0,6.0
51,18745.3,18.0,18727.3,0.0,-1.0,3.0,6.0
52,64307.478,18.0,64289.478,0.0,-1.0,3.0,6.0
53,7602.986,18.0,7584.986,0.0,-1.0,3.0,6.0
54,87017.581,18.0,86999.581,0.0,-1.0,3.0,6.0
55,61963.04,18.0,61945.04,0.0,-1.0,3.0,6.0
56,44077.18,7.2,44069.98,0.0,-1.0,3.0,6.0
57,378985.406,18.0,378967.406,0.0,-1.0,3.0,6.0
58,49276.904,13.383,49263.521,0.0,-1.0,3.0,6.0
59,437814.378,18.0,437796.378,0.0,-1.0,3.0,6.0
60,81.058,18.0,63.058,0.0,1.0,2.0,4.0
61,3698.692,18.0,3680.692,0.0,-1.0,3.0,6.0
62,340.318,14.366,325.952,0.0,1.0,2.0,4.0
63,19250.517,16.066,19234.451,0.0,-1.0,3.0,6.0
64,57161.2,18.0,57143.2,0.0,-1.0,3.0,6.0
65,85485.268,17.4,85467.868,0.0,-1.0,3.0,6.0
66,258669.908,18.0,258651.908,0.0,-1.0,3.0,6.0
67,14009.167,18.0,13991.167,0.0,-1.0,3.0,6.0
68,234.793,18.0,216.793,0.0,1.0,2.0,4.0
69,244047.031,18.0,244029.031,0.0,-1.0,3.0,6.0
70,1807.286,18.0,1789.286,0.0,-1.0,3.0,6.0
71,1807.286,18.0,1789.286,0.0,-1.0,3.0,6.0
72,1572.767,18.0,1554.767,0.0,1.0,2.0,4.0
73,173427.794,18.0,173409.794,0.0,-1.0,3.0,6.0
74,173187.161,8.9,173178.261,0.0,-1.0,3.0,6.0
75,83558.754,18.0,83540.754,0.0,-1.0,3.0,6.0
76,126655.081,14.283,126640.798,0.0,-1.0,3.0,6.0
77,255388.747,18.0,255370.747,0.0,-1.0,3.0,6.0
78,171175.13,18.0,171157.13,0.0,-1.0,3.0,6.0
79,289517.95,18.0,289499.95,0.0,-1.0,3.0,6.0
80,132631.52,18.0,132613.52,0.0,-1.0,3.0,6.0
81,601949.686,0.0,601949.686,1.0,-1.0,3.0,7.0
82,85557.424,0.0,85557.424,0.0,-1.0,3.0,6.0
83,30829.503,18.0,30811.503,0.0,-1.0,3.0,6.0
84,83259.535,18.0,83241.535,0.0,-1.0,3.0,6.0
85,198585.38,18.0,198567.38,0.0,-1.0,3.0,6.0
86,20462.099,18.0,20444.099,0.0,-1.0,3.0,6.0
87,54765.976,18.0,54747.976,0.0,-1.0,3.0,6.0
88,117082.319,18.0,117064.319,0.0,-1.0,3.0,6.0
89,189659.11,18.0,189641.11,0.0,-1.0,3.0,6.0
90,102170.863,18.0,102152.863,0.0,-1.0,3.0,6.0
91,60138.521,18.0,60120.521,0.0,-1.0,3.0,6.0
92,1029710.305,6.0,1029704.305,0.0,-1.0,3.0,6.0
93,144873.539,18.0,144855.539,0.0,-1.0,3.0,6.0
94,86941.202,18.0,86923.202,0.0,-1.0,3.0,6.0
95,56785.856,18.0,56767.856,0.0,-1.0,3.0,6.0
96,240.694,18.0,222.694,0.0,1.0,2.0,4.0
97,423.196,18.0,405.196,0.0,1.0,2.0,4.0
98,4172.313,18.0,4154.313,0.0,-1.0,3.0,6.0
99,10727.989,18.0,10709.989,0.0,-1.0,3.0,6.0
100,1694.79,18.0,1676.79,0.0,1.0,2.0,4.0
101,690.338,18.0,672.338,0.0,1.0,2.0,4.0
102,390.591,12.733,377.858,0.0,1.0,2.0,4.0
103,344.172,11.016,333.156,1.0,1.0,2.0,5.0
104,793.195,11.016,782.179,0.0,1.0,2.0,4.0
105,26109.398,12.733,26096.665,0.0,-1.0,3.0,6.0
106,55650.128,18.0,55632.128,0.0,-1.0,3.0,6.0
107,835.002,18.0,817.002,0.0,1.0,2.0,4.0
108,68822.377,18.0,68804.377,0.0,-1.0,3.0,6.0
109,159310.945,18.0,159292.945,0.0,-1.0,3.0,6.0
110,1186.338,18.0,1168.338,0.0,1.0,2.0,4.0
111,172451.313,18.0,172433.313,0.0,-1.0,3.0,6.0
112,804361.41,18.0,804343.41,0.0,-1.0,3.0,6.0
113,653008.502,18.0,652990.502,0.0,-1.0,3.0,6.0
114,35747.742,18.0,35729.742,0.0,-1.0,3.0,6.0
115,4224.194,18.0,4206.194,0.0,-1.0,3.0,6.0
116,4539.982,18.0,4521.982,0.0,-1.0,3.0,6.0
117,6740.133,10.133,6730.0,0.0,-1.0,3.0,6.0
118,84683.912,18.0,84665.912,0.0,-1.0,3.0,6.0
