row_id,user_tab_positive_support,user_tab_negative_support
0,0.0,3.0
1,1.0,3.0
2,6.0,1.0
3,46.0,36.0
4,46.0,36.0
5,2.0,10.0
6,2.0,10.0
7,2.0,10.0
8,5.0,13.0
9,5.0,13.0
10,5.0,13.0
11,5.0,13.0
12,6.0,25.0
13,6.0,25.0
14,0.0,4.0
15,0.0,4.0
16,16.0,35.0
17,0.0,0.0
18,0.0,0.0
19,1.0,6.0
20,6.0,35.0
21,41.0,50.0
22,6.0,35.0
23,6.0,35.0
24,6.0,35.0
25,3.0,27.0
26,3.0,27.0
27,3.0,27.0
28,3.0,27.0
29,3.0,27.0
30,3.0,27.0
31,1.0,49.0
32,0.0,0.0
33,0.0,0.0
34,1.0,49.0
35,0.0,0.0
36,15.0,5.0
37,15.0,5.0
38,0.0,39.0
39,0.0,39.0
40,6.0,33.0
41,6.0,33.0
42,6.0,33.0
43,6.0,33.0
44,4.0,19.0
45,4.0,19.0
46,4.0,19.0
47,4.0,19.0
48,0.0,0.0
49,0.0,0.0
50,11.0,16.0
51,11.0,16.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,7.0,3.0
57,0.0,30.0
58,0.0,30.0
59,26.0,35.0
60,0.0,0.0
61,26.0,35.0
62,26.0,35.0
63,26.0,35.0
64,26.0,35.0
65,9.0,16.0
66,28.0,239.0
67,28.0,239.0
68,28.0,239.0
69,28.0,239.0
70,0.0,8.0
71,0.0,8.0
72,28.0,239.0
73,28.0,239.0
74,7.0,14.0
75,7.0,14.0
76,7.0,14.0
77,0.0,5.0
78,0.0,6.0
79,14.0,12.0
80,0.0,2.0
81,5.0,3.0
82,5.0,3.0
83,5.0,3.0
84,5.0,3.0
85,9.0,49.0
86,9.0,49.0
87,9.0,49.0
88,9.0,49.0
89,20.0,14.0
90,20.0,14.0
91,20.0,14.0
92,0.0,0.0
93,11.0,24.0
94,11.0,24.0
95,17.0,81.0
96,17.0,81.0
97,17.0,81.0
98,17.0,81.0
99,17.0,81.0
100,17.0,81.0
101,17.0,81.0
102,17.0,81.0
103,17.0,81.0
104,17.0,81.0
105,17.0,81.0
106,17.0,81.0
107,17.0,81.0
108,17.0,81.0
109,17.0,81.0
110,17.0,81.0
111,5.0,13.0
112,0.0,4.0
113,7.0,8.0
114,7.0,8.0
115,7.0,8.0
116,7.0,8.0
117,10.0,17.0
118,10.0,17.0
119,10.0,17.0
120,10.0,17.0
121,6.0,0.0
122,27.0,16.0
123,27.0,16.0
124,27.0,16.0
125,27.0,16.0
126,27.0,16.0
127,27.0,16.0
128,27.0,16.0
129,2.0,29.0
130,17.0,42.0
131,21.0,22.0
132,21.0,22.0
133,21.0,22.0
134,21.0,22.0
135,21.0,22.0
136,17.0,32.0
137,17.0,32.0
138,64.0,141.0
139,64.0,141.0
140,64.0,141.0
141,0.0,0.0
142,64.0,141.0
143,64.0,141.0
144,64.0,141.0
145,64.0,141.0
146,64.0,141.0
147,13.0,10.0
148,43.0,25.0
149,18.0,49.0
150,18.0,49.0
151,18.0,49.0
152,18.0,49.0
153,8.0,22.0
154,8.0,22.0
155,8.0,22.0
156,8.0,22.0
157,8.0,22.0
158,8.0,22.0
159,8.0,22.0
160,8.0,22.0
161,8.0,22.0
162,8.0,22.0
163,8.0,22.0
164,15.0,31.0
165,15.0,31.0
166,15.0,31.0
167,15.0,31.0
168,1.0,2.0
169,2.0,12.0
170,1.0,2.0
171,38.0,284.0
172,38.0,284.0
173,38.0,284.0
174,38.0,284.0
175,18.0,15.0
176,18.0,15.0
177,1.0,12.0
178,11.0,86.0
179,11.0,86.0
180,11.0,86.0
181,11.0,86.0
182,11.0,86.0
183,23.0,40.0
184,23.0,40.0
185,23.0,40.0
