row_id,has_latest_positive,latest_positive_gap_seconds,latest_positive_tag_match,latest_positive_tag_known_pair,latest_positive_music_match,latest_positive_music_known_pair,latest_positive_type_match,latest_positive_type_known_pair
0,1,942174.365,0,1,0,1,1,1
1,1,1208680.711,0,1,0,1,1,1
2,1,802029.78,0,1,0,1,0,1
3,1,424195.601,0,1,0,1,1,1
4,1,493604.376,0,1,0,1,1,1
5,1,562729.65,0,1,0,1,1,1
6,1,732353.395,0,1,0,1,1,1
7,1,733913.283,0,1,0,1,1,1
8,1,556627.853,0,1,0,1,1,1
9,1,725887.089,1,1,0,1,1,1
10,1,863769.4,0,1,0,1,1,1
11,1,878755.533,0,1,0,1,1,1
12,1,1206515.526,0,1,0,1,1,1
13,1,1210286.517,1,1,0,1,1,1
14,1,179961.199,0,1,0,1,1,1
15,1,179961.199,0,1,0,1,1,1
16,1,595343.392,0,1,0,1,1,1
17,1,975462.954,0,1,0,1,1,1
18,1,975559.661,0,1,0,1,1,1
19,1,774959.851,0,1,0,1,1,1
20,1,334734.246,1,1,0,1,1,1
21,1,362989.999,0,1,0,1,1,1
22,1,396480.891,0,1,0,1,1,1
23,1,510386.971,1,1,0,1,1,1
24,1,511333.832,0,1,0,1,1,1
25,1,94573.056,0,1,0,1,1,1
26,1,95436.531,0,1,0,1,1,1
27,1,175830.028,0,1,0,1,1,1
28,1,181243.761,0,1,0,1,1,1
29,1,181271.667,0,1,0,1,1,1
30,1,250262.982,0,1,0,1,1,1
31,1,433474.708,0,1,0,1,1,1
32,1,523391.108,0,1,0,1,1,1
33,1,523391.108,0,1,0,1,1,1
34,1,611574.301,0,1,0,1,1,1
35,0,-1.0,0,0,0,0,0,0
36,1,122962.341,1,1,0,1,1,1
37,1,555853.069,0,1,0,1,1,1
38,1,433978.54,0,1,0,1,1,1
39,1,436671.454,0,1,0,1,1,1
40,1,418107.225,0,1,0,1,1,1
41,1,443834.327,0,1,0,1,1,1
42,1,594617.033,0,1,0,1,1,1
43,1,709510.232,0,1,0,1,1,1
44,1,681731.339,0,1,0,1,1,1
45,1,684657.926,1,1,0,1,1,1
46,1,685653.652,1,1,0,1,1,1
47,1,1004366.803,1,1,0,1,1,1
48,1,1215717.205,0,1,0,1,1,1
49,1,1215717.205,0,1,0,1,1,1
50,1,565482.084,0,1,0,1,1,1
51,1,607278.881,0,1,0,1,1,1
52,0,-1.0,0,0,0,0,0,0
53,0,-1.0,0,0,0,0,0,0
54,0,-1.0,0,0,0,0,0,0
55,0,-1.0,0,0,0,0,0,0
56,1,526387.133,0,1,0,1,1,1
57,1,905372.539,0,1,0,1,1,1
58,1,954649.443,0,1,0,1,1,1
59,1,440532.686,0,1,0,1,1,1
60,1,440613.744,0,1,0,1,1,1
61,1,472131.676,0,1,0,1,1,1
62,1,472471.994,0,1,0,1,1,1
63,1,491722.511,1,1,0,1,1,1
64,1,548883.711,0,1,0,1,1,1
65,1,429791.773,1,1,0,1,1,1
66,1,553625.264,0,1,0,1,1,1
67,1,567634.431,0,1,0,1,1,1
68,1,567869.224,0,1,0,1,1,1
69,1,811916.255,0,1,0,1,1,1
70,1,813723.541,0,1,0,1,1,1
71,1,813723.541,0,1,0,1,1,1
72,1,815296.308,0,1,0,1,1,1
73,1,988724.102,0,1,0,1,1,1
74,1,955911.384,0,1,0,1,1,1
75,1,1039470.138,0,1,0,1,1,1
76,1,1375813.333,0,1,0,1,1,1
77,1,683241.396,0,1,0,1,1,1
78,1,854416.526,0,1,0,1,1,1
79,1,289517.95,0,1,0,1,1,1
80,1,429817.691,1,1,0,1,1,1
81,1,765283.102,0,1,0,1,0,1
82,1,850840.526,1,1,0,1,0,1
83,1,881670.029,0,1,0,1,0,1
84,1,964929.564,0,1,0,1,0,1
85,1,762239.286,0,1,0,1,1,1
86,1,782701.385,0,1,0,1,1,1
87,1,837467.361,0,1,0,1,1,1
88,1,954549.68,0,1,0,1,1,1
89,1,382941.267,1,1,0,1,1,1
90,1,485112.13,0,1,0,1,1,1
91,1,545250.651,0,1,0,1,1,1
92,0,-1.0,0,0,0,0,0,0
93,1,1120564.714,0,1,0,1,1,1
94,1,1207505.916,0,1,0,1,1,1
95,1,61461.533,1,1,0,1,1,1
96,1,61702.227,0,1,0,1,1,1
97,1,62125.423,1,1,0,1,1,1
98,1,69258.808,0,1,0,1,1,1
99,1,79986.797,0,1,0,1,1,1
100,1,81681.587,1,1,0,1,1,1
101,1,82371.925,0,1,0,1,1,1
102,1,82762.516,1,1,0,1,1,1
103,1,149288.459,0,1,0,1,1,1
104,1,150081.654,0,1,0,1,1,1
105,1,176385.114,0,1,0,1,1,1
106,1,257992.727,1,1,0,1,1,1
107,1,258827.729,1,1,0,1,1,1
108,1,336089.243,0,1,0,1,1,1
109,1,495400.188,0,1,0,1,1,1
110,1,496586.526,0,1,0,1,1,1
111,1,172451.313,1,1,0,1,1,1
112,1,804361.41,0,1,0,1,1,1
113,1,653008.502,0,1,0,1,1,1
114,1,688756.244,0,1,0,1,1,1
115,1,741229.328,0,1,0,1,1,1
116,1,745769.31,0,1,0,1,1,1
117,1,91658.899,0,1,0,1,1,1
118,1,176342.811,0,1,0,1,1,1
119,1,178449.6,0,1,0,1,1,1
120,1,204040.24,0,1,0,1,1,1
121,1,171950.604,0,1,0,1,1,1
122,1,251117.999,0,1,0,1,1,1
123,1,254766.293,0,1,0,1,1,1
124,1,254979.308,0,1,0,1,1,1
125,1,337746.956,0,1,0,1,1,1
126,1,513325.303,0,1,0,1,1,1
127,1,680535.889,0,1,0,1,1,1
128,1,757784.987,0,1,0,1,1,1
129,1,160972.325,0,1,0,1,1,1
130,1,517766.577,0,1,0,1,1,1
131,1,351577.778,0,1,0,1,1,1
132,1,422350.818,0,1,0,1,1,1
133,1,430067.39,0,1,0,1,1,1
134,1,434120.125,0,1,0,1,1,1
135,1,604503.867,0,1,0,1,1,1
136,1,860698.679,0,1,0,1,1,1
137,1,861923.625,0,1,0,1,1,1
138,1,286324.244,0,1,0,1,1,1
139,1,286977.971,0,1,0,1,1,1
140,1,287722.032,0,1,0,1,1,1
141,1,364282.126,0,1,0,1,1,1
142,1,459786.798,1,1,0,1,1,1
143,1,460073.8,1,1,0,1,1,1
144,1,462118.164,0,1,0,1,1,1
145,1,534643.3,1,1,0,1,1,1
146,1,705370.149,0,1,0,1,1,1
147,1,296116.886,1,1,0,1,1,1
148,1,483344.901,1,1,0,1,1,1
149,1,580459.168,0,1,0,1,1,1
150,1,662597.233,1,1,0,1,1,1
151,1,672352.366,0,1,0,1,1,1
152,1,674998.727,0,1,0,1,1,1
153,1,572178.307,0,1,0,1,1,1
154,1,572445.2,1,1,0,1,1,1
155,1,575750.996,0,1,0,1,1,1
156,1,579954.878,1,1,0,1,1,1
157,1,589712.064,0,1,0,1,1,1
158,1,589988.784,0,1,0,1,1,1
159,1,622517.444,0,1,0,1,1,1
160,1,622840.959,0,1,0,1,1,1
161,1,1014214.736,1,1,0,1,1,1
162,1,1023012.907,0,1,0,1,1,1
163,1,1030746.491,0,1,0,1,1,1
164,1,245143.329,0,1,0,1,1,1
165,1,247667.568,0,1,0,1,1,1
166,1,256878.024,0,1,0,1,1,1
167,1,330292.656,0,1,0,1,1,1
168,1,470941.425,1,1,0,1,1,1
169,1,533290.967,0,1,0,1,1,1
170,1,732096.141,1,1,0,1,1,1
171,1,666348.584,0,1,0,1,1,1
172,1,679849.034,1,1,0,1,1,1
173,1,752791.66,1,1,0,1,1,1
174,1,1027503.019,1,1,0,1,1,1
175,1,636855.635,1,1,0,1,1,1
176,1,645069.98,1,1,0,1,1,1
177,1,677176.891,0,1,0,1,1,1
178,1,678532.978,0,1,0,1,1,1
179,1,681183.423,0,1,0,1,1,1
180,1,937773.529,0,1,0,1,1,1
181,1,949557.958,0,1,0,1,1,1
182,1,953931.516,0,1,0,1,1,1
183,1,156224.429,0,1,0,1,1,1
184,1,166090.817,0,1,0,1,1,1
185,1,166805.293,0,1,0,1,1,1
186,1,190405.118,0,1,0,1,1,1
187,1,191052.376,0,1,0,1,1,1
188,1,238014.005,0,1,0,1,1,1
189,1,270714.046,0,1,0,1,1,1
190,1,270982.832,1,1,0,1,1,1
191,1,271291.468,1,1,0,1,1,1
192,1,271748.601,0,1,0,1,1,1
193,1,324077.765,0,1,0,1,1,1
194,1,357203.311,0,1,0,1,1,1
195,1,423165.582,0,1,0,1,1,1
196,1,425106.059,1,1,0,1,1,1
197,1,515619.986,0,1,0,1,1,1
198,1,515687.515,0,1,0,1,1,1
199,1,516743.174,0,1,0,1,1,1
200,1,516876.345,0,1,0,1,1,1
201,1,586780.216,1,1,0,1,1,1
202,1,589454.906,0,1,0,1,1,1
203,1,677104.153,0,1,0,1,1,1
204,1,168623.134,1,1,0,1,1,1
205,1,419734.816,0,1,0,1,1,1
206,1,693754.954,1,1,0,1,1,1
207,1,612310.297,1,1,0,1,1,1
208,1,614682.241,0,1,0,1,1,1
209,1,864327.148,0,1,0,1,1,1
210,1,801174.06,0,1,0,1,1,1
211,1,802925.419,0,1,0,1,1,1
212,1,881494.241,0,1,0,1,1,1
213,1,1162695.225,0,1,0,1,1,1
214,1,338055.384,0,1,0,1,1,1
215,1,713940.394,0,1,0,1,1,1
216,1,1116158.493,0,1,0,1,1,1
217,1,230518.977,1,1,0,1,1,1
218,1,265604.311,0,1,0,1,1,1
219,1,423670.991,0,1,0,1,1,1
220,1,436562.313,0,1,0,1,1,1
221,1,601059.192,0,1,0,1,1,1
222,1,114093.929,0,1,0,1,1,1
223,1,115971.722,1,1,0,1,1,1
224,1,116178.328,0,1,0,1,1,1
225,1,123274.886,0,1,0,1,1,1
226,1,635749.793,1,1,0,1,1,1
227,1,379067.005,0,1,0,1,1,1
228,1,554097.475,0,1,0,1,1,1
229,1,641168.681,0,1,0,1,1,1
230,1,95509.834,0,1,0,1,1,1
231,1,525849.535,0,1,0,1,1,1
232,1,526428.637,0,1,0,1,1,1
233,1,576794.275,0,1,0,1,1,1
234,1,855417.763,1,1,0,1,1,1
235,1,1174533.112,1,1,0,1,1,1
236,1,784599.004,1,1,0,1,1,1
237,1,437851.87,1,1,0,1,1,1
238,1,758708.317,0,1,0,1,1,1
239,1,693462.372,1,1,0,1,1,1
240,1,694645.53,1,1,0,1,1,1
241,1,867156.837,0,1,0,1,1,1
242,0,-1.0,0,0,0,0,0,0
243,1,781105.319,1,1,0,1,1,1
244,1,437091.952,0,1,0,1,1,1
245,1,249116.131,0,1,0,1,1,1
246,1,298046.871,0,1,0,1,1,1
247,1,355188.332,0,1,0,1,1,1
248,1,272617.881,1,1,0,1,1,1
249,1,275371.133,0,1,0,1,1,1
250,1,276879.638,0,1,0,1,1,1
251,1,318780.16,0,1,0,1,1,1
252,1,349360.484,1,1,0,1,1,1
253,1,526434.393,1,1,0,1,1,1
254,1,705372.757,0,1,0,1,1,1
255,1,707901.542,0,1,0,1,1,1
256,1,784592.567,1,1,0,1,1,1
